010 01,ZI
010 03,ZI
010 04,ZI
010 07,ZI
010 08,ZI
010 09,ZI
010 14,ZI
010 15,ZI
013 01,ZI
013 02,ZI
013 03,ZI
013 04,ZI
013 05,ZI
013 06,ZI
013 11,ZI
013 12,ZI
013 13,ZI
013 14,ZI
013 15,ZI
013 18,ZI
013 19,ZI
013 22,ZI
013 23,ZI
013 24,ZI
013 25,ZI
013 31,ZI
013 32,ZI
013 41,ZI
013 42,ZI
013 51,ZI
013 52,ZI
013 53,ZI
013 54,ZI
013 55,ZI
013 56,ZI
013 61,ZI
013 62,ZI
014 01,ZI
015 01,ZI
017 01,TC
017 04,TC
017 05,TC
017 06,TC
017 07,TC
018 01,TC
018 02,TC
018 03,TC
018 12,TC
018 13,TC
018 15,TC
018 16,TC
018 17,TC
018 21,TC
018 22,TC
018 26,TC
018 31,TC
018 32,TC
018 35,TC
018 41,TC
018 51,TC
018 52,TC
018 53,TC
018 54,TC
018 55,TC
018 56,TC
018 57,TC
018 61,TC
018 63,TC
018 64,TC
019 01,TC
020 01,TC
020 51,TC
020 52,TC
020 53,TC
020 54,TC
020 55,TC
020 61,TC
020 62,TC
020 63,TC
020 64,TC
020 71,TC
020 72,TC
022 01,ZI
022 04,ZI
023 01,ZI
023 02,ZI
023 03,ZI
023 04,ZI
023 05,ZI
023 11,ZI
023 12,ZI
023 13,ZI
023 14,ZI
023 21,ZI
023 22,ZI
023 31,ZI
023 32,ZI
023 33,ZI
023 34,ZI
023 35,ZI
023 36,ZI
023 41,ZI
023 45,ZI
023 51,ZI
023 52,ZI
023 53,ZI
023 54,ZI
023 55,ZI
023 56,ZI
023 57,ZI
024 01,ZI
024 04,ZI
026 01,ZI
027 05,ZI
027 12,ZI
027 13,ZI
027 21,ZI
027 32,ZI
027 41,ZI
027 42,ZI
027 43,ZI
027 44,ZI
027 51,ZI
027 53,ZI
027 54,ZI
027 55,ZI
028 01,ZI
029 01,ZI
029 41,ZI
029 42,ZI
029 43,ZI
029 44,ZI
029 45,ZI
029 46,ZI
029 47,ZI
029 51,ZI
029 52,ZI
029 53,ZI
029 54,ZI
029 55,ZI
029 56,ZI
029 57,ZI
029 62,ZI
029 63,ZI
029 64,ZI
031 01,ZI
031 04,ZI
031 05,ZI
032 02,ZI
032 03,ZI
032 04,ZI
032 05,ZI
032 11,ZI
032 12,ZI
032 13,ZI
032 14,ZI
032 15,ZI
032 21,ZI
032 23,ZI
032 31,ZI
032 32,ZI
032 33,ZI
