067 16,PV
067 02,PV
962 51,BC
974 01,BC
905 01,TA
,ZI
022 04,ZI
022 01,ZI
916 21,TC
935 61,NI
935 24,NI
935 68,NI
951 43,NI
044 45,KI
985 58,BC
930 40,TA
094 35,PV
946 02,NI
986 01,BC
044 14,KI
934 01,NI
951 17,NI
953 01,NI
908 43,TA
900 89,BL
946 03,NI
906 04,TA
916 27,TC
935 63,NI
900 83,BL
972 29,TC
991 25,BC
072 11,KI
044 71,KI
930 36,TA
985 45,BC
930 34,TA
941 32,NI
951 07,NI
962 41,BC
951 03,NI
956 16,NI
991 22,BC
018 16,TC
082 14,PV
991 41,BC
076 17,KI
093 03,PV
929 01,TA
943 52,NI
930 39,TA
972 46,TC
979 01,BC
945 01,NI
945 04,NI
076 81,KI
974 01,BC
949 01,NI
956 08,NI
941 05,NI
067 23,PV
076 32,KI
916 01,TC
034 06,ZI
067 52,PV
985 02,BC
976 71,BC
083 01,PV
049 64,BC
991 01,BC
082 07,PV
082 56,PV
920 42,TA
951 82,NI
018 56,TC
900 89,BL
059 06,PV
059 06,PV
985 03,BC
013 54,ZI
076 71,KI
093 01,PV
013 15,ZI
946 19,NI
076 43,KI
053 33,KI
049 36,KI
956 53,TC
076 43,KI
925 06,TA
013 55,ZI
023 13,ZI
023 56,ZI
953 05,NI
094 34,PV
079 01,KI
976 52,BC
925 08,TA
946 03,NI
980 31,BC
032 33,ZI
951 61,NI
941 11,NI
931 01,TA
930 08,TA
027 12,ZI
065 42,PV
980 43,BC
980 43,BC
044 47,KI
049 12,KI
039 01,ZI
048 01,KI
067 35,PV
930 51,TA
956 54,TC
082 71,PV
991 35,BC
082 63,PV
076 12,KI
053 22,KI
038 42,ZI
094 05,PV
076 61,KI
093 03,PV
045 01,KI
067 12,PV
946 03,NI
941 50,NI
900 29,BL
049 73,KI
919 53,TA
969 01,BC
053 75,KI
935 85,NI
029 57,ZI
031 01,ZI
031 01,ZI
082 13,PV
027 05,ZI
020 54,TC
094 31,PV
962 12,BC
962 12,BC
962 05,BC
935 04,NI
962 65,BC
957 03,TC
038 02,ZI
925 81,NI
022 01,ZI
985 53,BC
943 42,NI
972 24,TC
039 01,ZI
972 25,TC
985 52,BC
013 31,ZI
013 31,ZI
985 52,BC
919 01,TA
032 23,ZI
085 01,PV
023 54,ZI
027 55,ZI
927 05,NI
049 55,KI
094 13,PV
067 82,PV
013 32,ZI
054 01,PV
090 02,PV
972 26,TC
935 56,NI
044 71,KI
076 41,KI
914 01,TC
962 61,BC
919 54,TA
053 61,KI
094 23,PV
976 52,BC
985 53,BC
972 27,TC
930 31,TA
090 01,PV
985 26,BC
049 25,KI
049 71,KI
049 73,KI
020 51,TC
906 02,TA
053 02,PV
900 88,BL
027 05,ZI
082 38,PV
991 28,BC
013 62,ZI
020 53,TC
962 63,BC
020 61,TC
985 51,BC
919 65,TA
027 41,ZI
976 98,BC
018 02,TC
974 01,BC
974 01,BC
914 43,TC
930 02,TA
935 31,NI
925 63,TA
991 02,BC
913 32,TC
039 01,ZI
013 04,ZI
966 21,BC
967 01,BC
913 33,TC
966 01,BC
962 61,BC
956 54,TC
919 52,TA
966 61,BC
956 31,NI
930 39,TA
038 02,ZI
020 01,TC
906 15,TC
949 05,NI
951 45,NI
972 43,TC
919 27,TA
962 41,BC
913 26,TC
957 01,TC
951 02,NI
919 02,TA
920 61,TA
957 01,TC
991 24,BC
991 25,BC
962 55,BC
925 02,TA
935 85,NI
951 71,NI
916 41,TC
991 03,BC
920 61,TA
935 81,NI
972 23,TC
985 42,BC
920 52,TA
962 51,BC
930 14,TA
935 34,NI
976 03,BC
013 41,ZI
925 41,TA
962 41,BC
941 10,NI
